lat,lon,elev_m
33.127500,-117.314071,49.933361053
33.127500,-117.313429,49.732761383
33.127500,-117.312786,49.952838898
33.127500,-117.312143,52.159114838
33.127500,-117.311500,47.242782593
33.127500,-117.310857,49.151046753
33.127500,-117.310214,48.921066284
33.127500,-117.309571,50.673084259
33.127500,-117.308929,49.661724091
33.127500,-117.308286,48.819831848
33.127500,-117.307643,48.303470612
33.127500,-117.307000,54.779544830
33.128000,-117.316000,51.635135651
33.128000,-117.315357,52.301013947
33.128000,-117.314714,50.531295776
33.128000,-117.314071,51.155010223
33.128000,-117.313429,50.950382233
33.128000,-117.312786,49.388320923
33.128000,-117.312143,46.524940491
33.128000,-117.311500,46.166797638
33.128000,-117.310857,48.303588867
33.128000,-117.310214,52.582717896
33.128000,-117.309571,52.226070404
33.128000,-117.308929,55.291439056
33.128000,-117.308286,60.627059937
33.128000,-117.307643,60.595920563
33.128000,-117.307000,59.811325073
33.128500,-117.316000,52.807205200
33.128500,-117.315357,52.578960419
33.128500,-117.314714,50.375820160
33.128500,-117.314071,51.027542114
33.128500,-117.313429,51.091289520
33.128500,-117.312786,48.560852051
33.128500,-117.312143,50.831302643
33.128500,-117.311500,50.815917969
33.128500,-117.310857,53.747989655
33.128500,-117.310214,55.567726135
33.128500,-117.309571,56.929718018
33.128500,-117.308929,62.665172577
33.128500,-117.308286,66.144477844
33.128500,-117.307643,68.928627014
33.128500,-117.307000,65.350379944
33.129000,-117.316000,53.939117432
33.129000,-117.315357,53.883579254
33.129000,-117.314714,49.477870941
33.129000,-117.314071,50.885452271
33.129000,-117.313429,50.680641174
33.129000,-117.312786,50.814006805
33.129000,-117.312143,49.922790527
33.129000,-117.311500,54.423152924
33.129000,-117.310857,55.863399506
33.129000,-117.310214,56.400039673
33.129000,-117.309571,59.495590210
33.129000,-117.308929,68.523773193
33.129000,-117.308286,71.283279419
33.129000,-117.307643,72.169914246
33.129000,-117.307000,68.749565125
33.129500,-117.316000,54.365146637
33.129500,-117.315357,55.334171295
33.129500,-117.314714,50.191989899
33.129500,-117.314071,51.052227020
33.129500,-117.313429,50.154308319
33.129500,-117.312786,51.495868683
33.129500,-117.312143,51.329914093
33.129500,-117.311500,56.342060089
33.129500,-117.310857,55.893810272
33.129500,-117.310214,56.915313721
33.129500,-117.309571,67.941513062
33.129500,-117.308929,71.992782593
33.129500,-117.308286,77.645652771
33.129500,-117.307643,76.198692322
33.129500,-117.307000,72.114746094
33.130000,-117.316000,54.153095245
33.130000,-117.315357,54.175220490
33.130000,-117.314714,52.306060791
33.130000,-117.314071,51.142536163
33.130000,-117.313429,52.232376099
33.130000,-117.312786,54.623973846
33.130000,-117.312143,54.672191620
33.130000,-117.311500,56.333797455
33.130000,-117.310857,58.819259644
33.130000,-117.310214,67.739219666
33.130000,-117.309571,71.023200989
33.130000,-117.308929,71.968795776
33.130000,-117.308286,80.226730347
33.130000,-117.307643,79.019989014
33.130000,-117.307000,73.574203491
33.130500,-117.316000,53.896072388
33.130500,-117.315357,54.412429810
33.130500,-117.314714,49.741809845
33.130500,-117.314071,50.522640228
33.130500,-117.313429,51.628807068
33.130500,-117.312786,54.608276367
33.130500,-117.312143,57.598011017
33.130500,-117.311500,61.396564484
33.130500,-117.310857,64.786857605
33.130500,-117.310214,68.003532410
33.130500,-117.309571,71.714935303
33.130500,-117.308929,72.110542297
33.130500,-117.308286,71.311347961
33.130500,-117.307643,64.359962463
33.130500,-117.307000,68.168594360
33.131000,-117.316000,53.421585083
33.131000,-117.315357,52.903205872
33.131000,-117.314714,52.941669464
33.131000,-117.314071,56.390075684
33.131000,-117.313429,55.775230408
33.131000,-117.312786,58.480323792
33.131000,-117.312143,58.573345184
33.131000,-117.311500,58.595794678
33.131000,-117.310857,64.842811584
33.131000,-117.310214,67.698127747
33.131000,-117.309571,71.500480652
33.131000,-117.308929,71.935668945
33.131000,-117.308286,68.543190002
33.131000,-117.307643,56.611038208
33.131000,-117.307000,58.057884216
